domain_id,subdomain_id,variable_id,variable_code,variable_name
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi137,bi137,Is a group
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi146,bi146,Institution or equivalent
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi238,bi238,Is a transaction where there is an exposure to underlying assets
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi327,bi327,Compliance with Art. 129 CRR
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi376,bi376,Joint decision
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi382,bi382,VaR + SVaR model applicable
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi383,bi383,IRC Model applicable
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi384,bi384,CT model applicable
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi456,bi456,Use of 2% threshold
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi458,bi458,Is intragroup transaction
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi489,bi489,Is an institution with a public development unit
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi490,bi490,Is the public development credit institution / unit guaranteed by a central government
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi491,bi491,Is the public development credit institution / unit guaranteed by a regional government
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi492,bi492,Is the public development credit institution / unit guaranteed by a local authority
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi493,bi493,Is the viability of the public development credit institution/unit protected
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi494,bi494,"Are the credit institutions' own funds requirements, funding requirements or promotional loans granted directly guaranteed?"
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi495,bi495,"Are the credit institutions' own funds requirements, funding requirements or promotional loans granted indirectly guaranteed?"
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi565,bi565,Represents a critical function
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi571,bi571,Is part of the group
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi594,bi594,STS securitisation
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi596,bi596,STS securitisation qualifying for differentiated capital treatment
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi612,bi612,Is collateralised
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi621,bi621,Signatory to ISDA Universal Stay Protocol.Entity
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi622,bi622,Signatory to ISDA Universal Stay Protocol.Counterparty
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi628,bi628,Is included in prudential consolidation perimeter
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi629,bi629,Article 10 Waiver granted
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi630,bi630,Relevant legal entity
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi713,bi713,Conditions of Article 273a (4) CRR met
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi738,bi738,Is a currency in which transactions / contracts are denominated
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi75,bi75,Compliance with the retention requirement
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi762,bi762,Communication provider is FMI proprietary
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi763,bi763,Communication provider is SWIFT
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi764,bi764,Entity is included in the resolution group of reporting entity
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi825,bi825,Entity makes use of 'de minimis' subordination exemption for TLAC
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi837,bi837,Issuer possesses a call option exercisable upon the occurrence of a regulatory event
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi838,bi838,Simplified reporting
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi861,bi861,Is material amendment?
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi863,bi863,Renewability
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi870,bi870,Legal opinion
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi921,bi921,Is a relevant third country branch
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi938,bi938,Derogations applied
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi944,bi944,Waiver benefits
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi945,bi945,Type of connection with the parent
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi967,bi967,Is an EU parent institution
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi974,bi974,Is an IPU
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi983,bi983,Is a position without optionality subjected to curvature risk own funds requirements
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi984,bi984,Base currency approach applied
EBA_Boolean,EBA_Boolean,EBA_FIELD_bi985,bi985,Curvature risk position (FX risk) is divided by scalar
EBA_Date,EBA_Date,EBA_FIELD_di113,di113,Entry date
EBA_Date,EBA_Date,EBA_FIELD_di130,di130,First foreseeable termination date
EBA_Date,EBA_Date,EBA_FIELD_di1428,di1428,Last date of record entry
EBA_Date,EBA_Date,EBA_FIELD_di1429,di1429,Date of integration
EBA_Date,EBA_Date,EBA_FIELD_di1430,di1430,Date of deletion
EBA_Date,EBA_Date,EBA_FIELD_di1431,di1431,Start date
EBA_Date,EBA_Date,EBA_FIELD_di1432,di1432,End date
EBA_Date,EBA_Date,EBA_FIELD_di1433,di1433,Date of reclassification
EBA_Date,EBA_Date,EBA_FIELD_di1434,di1434,Date of maturity or derecognition
EBA_Date,EBA_Date,EBA_FIELD_di1435,di1435,Date as of which the reduction in own funds requirements can be recognised
EBA_Date,EBA_Date,EBA_FIELD_di1436,di1436,Transaction/issue/trade date
EBA_Date,EBA_Date,EBA_FIELD_di1437,di1437,Maturity/expiry date
EBA_Date,EBA_Date,EBA_FIELD_di1438,di1438,Starting date of reinsurance contract
EBA_Date,EBA_Date,EBA_FIELD_di1439,di1439,Expiry date of reinsurance contract
EBA_Date,EBA_Date,EBA_FIELD_di1440,di1440,Transaction date of P&L transaction
EBA_Date,EBA_Date,EBA_FIELD_di1441,di1441,Date of the last audit
EBA_Date,EBA_Date,EBA_FIELD_di1442,di1442,Date of last assessment of criticality or importance of the function
EBA_Date,EBA_Date,EBA_FIELD_di1554,di1554,Date of reporting
EBA_Date,EBA_Date,EBA_FIELD_di157,di157,Legal final maturity date
EBA_Date,EBA_Date,EBA_FIELD_di1727,di1727,First date as of which the stress period was used in the calculation of the risk measures
EBA_Date,EBA_Date,EBA_FIELD_di1728,di1728,End date of stress period
EBA_Date,EBA_Date,EBA_FIELD_di1729,di1729,Start date of stress period
EBA_Date,EBA_Date,EBA_FIELD_di181,di181,Origination date of the securitisation
EBA_Date,EBA_Date,EBA_FIELD_di369,di369,Date of most recent rating
EBA_Date,EBA_Date,EBA_FIELD_di520,di520,Date of accounting
EBA_Date,EBA_Date,EBA_FIELD_di521,di521,Date of occurrence
EBA_Date,EBA_Date,EBA_FIELD_di522,di522,Date of discovery
EBA_Date,EBA_Date,EBA_FIELD_di605,di605,Date of issuance
EBA_Date,EBA_Date,EBA_FIELD_di606,di606,Earliest date of redemption
EBA_Date,EBA_Date,EBA_FIELD_di627,di627,Reference date
EBA_Date,EBA_Date,EBA_FIELD_di655,di655,Date of latest issuance
EBA_Date,EBA_Date,EBA_FIELD_di733,di733,Reference period for daily averages (first day)
EBA_Date,EBA_Date,EBA_FIELD_di734,di734,Reference period for daily averages (last day)
EBA_Date,EBA_Date,EBA_FIELD_di836,di836,First call date
EBA_Date,EBA_Date,EBA_FIELD_di841,di841,Date of communication of requirements to the institution
EBA_Date,EBA_Date,EBA_FIELD_di843,di843,Reference period for the MREL calibration
EBA_Date,EBA_Date,EBA_FIELD_di844,di844,MREL decision date
EBA_Date,EBA_Date,EBA_FIELD_di845,di845,MREL compliance date
EBA_Date,EBA_Date,EBA_FIELD_di849,di849,Transition date for MREL compliance
EBA_Date,EBA_Date,EBA_FIELD_di851,di851,Notification date
EBA_Date,EBA_Date,EBA_FIELD_di853,di853,Reference date of the impracticability of contractual recognition of bail-in
EBA_Date,EBA_Date,EBA_FIELD_di854,di854,Reference date for liability insolvency classes
EBA_Date,EBA_Date,EBA_FIELD_di862,di862,Final maturity date
EBA_Date,EBA_Date,EBA_FIELD_di939,di939,Date of latest approval
EBA_Date,EBA_Date,EBA_FIELD_di964,di964,IPU requirement timeline
FRQNCY,FRQNCY,EBA_FIELD_ii864,ii864,Renewal frequency
EBA_Float,EBA_Float,EBA_FIELD_md10,md10,Actuarial gains and losses (flow)
EBA_Float,EBA_Float,EBA_FIELD_md103,md103,Current period (flow)
EBA_Float,EBA_Float,EBA_FIELD_md104,md104,Current service cost (flow)
EBA_Float,EBA_Float,EBA_FIELD_md105,md105,Decreases in allowances due to amounts reversed for estimated loan losses during the period (flow)
EBA_Float,EBA_Float,EBA_FIELD_md106,md106,Decreases due to amounts taken against allowances (flow)
EBA_Float,EBA_Float,EBA_FIELD_md108,md108,Dividends (flow)
EBA_Float,EBA_Float,EBA_FIELD_md11,md11,Actuarial gains or losses from changes in demographic assumptions (flow)
EBA_Float,EBA_Float,EBA_FIELD_md114,md114,Exercise/Expiration of equity Instruments other than capital Instruments (flow)
EBA_Float,EBA_Float,EBA_FIELD_md12,md12,Actuarial gains or losses from changes in financial assumptions (flow)
EBA_Float,EBA_Float,EBA_FIELD_md13,md13,Additions (flow)
EBA_Float,EBA_Float,EBA_FIELD_md131,md131,Foreign currency translation (flow)
EBA_Float,EBA_Float,EBA_FIELD_md139,md139,Increase in the discounted amount and effect of any change in the discount rate (flow)
EBA_Float,EBA_Float,EBA_FIELD_md14,md14,"Additions, including increases in existing provisions (flow)"
EBA_Float,EBA_Float,EBA_FIELD_md140,md140,Increases in allowances due to amounts set aside for estimated loan losses during the period (flow)
EBA_Float,EBA_Float,EBA_FIELD_md147,md147,Interest cost (flow)
EBA_Float,EBA_Float,EBA_FIELD_md149,md149,Issuance of equity Instruments other than capital instruments (flow)
EBA_Float,EBA_Float,EBA_FIELD_md150,md150,Issuance of ordinary shares (flow)
EBA_Float,EBA_Float,EBA_FIELD_md151,md151,Issuance of preference shares (flow)
EBA_Float,EBA_Float,EBA_FIELD_md165,md165,Maximum single loss (flow)
EBA_Float,EBA_Float,EBA_FIELD_md179,md179,Observed new defaults for the period (flow)
EBA_Float,EBA_Float,EBA_FIELD_md186,md186,Past service cost (flow)
EBA_Float,EBA_Float,EBA_FIELD_md197,md197,Purchase of Treasury Shares (flow)
EBA_Float,EBA_Float,EBA_FIELD_md199,md199,Reclassification of financial instruments from equity to liability (flow)
EBA_Float,EBA_Float,EBA_FIELD_md20,md20,All changes in Defined benefit obligations (flow)
EBA_Float,EBA_Float,EBA_FIELD_md200,md200,Reclassification of financial instruments from liability to equity (flow)
